"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_expectedtofail","tests","2025-11-26","passed","2025-11-26","","test_slow_tc","",""
"","0","test_divide","tests","2025-11-26","passed","2025-11-26","","test_calculator","",""
"","1","test_operation_fixture[20-30]","tests","2025-11-26","passed","2025-11-26","","test_fixture_parametrize","",""
"","0","test_multiply","tests","2025-11-26","passed","2025-11-26","","test_calculator","",""
"","0","test_subtract","tests","2025-11-26","skipped","2025-11-26","","test_slow_tc","",""
"","0","test_addition[1-5-6]","tests","2025-11-26","passed","2025-11-26","","test_fixture_parametrize","",""
"","0","test_data_from_fixture","tests","2025-11-26","passed","2025-11-26","","test_fixture","",""
"","0","test_expectedtoskip_withreason","tests","2025-11-26","skipped","2025-11-26","","test_slow_tc","",""
"","0","test_add","tests","2025-11-26","passed","2025-11-26","","test_calculator","",""
"","1","test_operation_fixture[5-15]","tests","2025-11-26","passed","2025-11-26","","test_fixture_parametrize","",""
"","0","test_add","tests","2025-11-26","passed","2025-11-26","","test_slow_tc","",""
"","0","test_addition[10-20-30]","tests","2025-11-26","passed","2025-11-26","","test_fixture_parametrize","",""
"","0","test_chrome","tests","2025-11-26","broken","2025-11-26","","test_fixture_ui","",""
"","0","test_operation_fixture[50-60]","tests","2025-11-26","passed","2025-11-26","","test_fixture_parametrize","",""
"","0","test_addition[15-20-35]","tests","2025-11-26","passed","2025-11-26","","test_fixture_parametrize","",""
"","1","test_sub","tests","2025-11-26","passed","2025-11-26","","test_calculator","",""
